年度,積地_都道府県名,積地_港名,揚地_都道府県名,揚地_港名,サンプル数,平均_総トン数,平均_載貨重量トン数,用途_自動車専用船_サンプル数,用途_自動車専用船_総トン数,用途_自動車専用船_載貨重量トン数,用途_セメント専用船_サンプル数,用途_セメント専用船_総トン数,用途_セメント専用船_載貨重量トン数,用途_石灰石専用船_サンプル数,用途_石灰石専用船_総トン数,用途_石灰石専用船_載貨重量トン数,用途_石炭専用船_サンプル数,用途_石炭専用船_総トン数,用途_石炭専用船_載貨重量トン数,用途_コンテナ専用船_サンプル数,用途_コンテナ専用船_総トン数,用途_コンテナ専用船_載貨重量トン数,用途_RORO船_サンプル数,用途_RORO船_総トン数,用途_RORO船_載貨重量トン数,用途_その他の貨物船_サンプル数,用途_その他の貨物船_総トン数,用途_その他の貨物船_載貨重量トン数,用途_油送船_サンプル数,用途_油送船_総トン数,用途_油送船_載貨重量トン数,用途_プッシャーバージ又は台船_サンプル数,用途_プッシャーバージ又は台船_総トン数,用途_プッシャーバージ又は台船_載貨重量トン数,平均_積載率,平均_貨物の重量,平均_輸送距離,積地_経度,積地_緯度,揚地_経度,揚地_緯度
2020,山口県,徳山港,島根県,隠岐港,2,455.0,1535.0,,,,2.0,455.0,1535.0,,,,,,,,,,,,,,,,,,,,,,29.64169381107492,475.0,304.0,141.06302,40.28997,139.59189,35.88313
2018,兵庫県,加古川港,福岡県,苅田港,60,1150.4166666666667,2151.083333333333,,,,16.0,2943.875,3966.625,,,,,,,,,,,,,44.0,498.25,1490.8863636363635,,,,,,,41.72772383006838,1689.2333333333331,230.78333333333333,139.89156,36.19485,141.33398,40.27981
2021,大分県,大分港,静岡県,静岡港,2,249.0,449.0,,,,,,,,,,,,,,,,,,,,,,2.0,249.0,449.0,,,,55.45657015590201,375.0,416.5,130.62473,33.58446,138.38239,34.97547
2024,広島県,江田島港,鹿児島県,谷山港,1,199.0,696.0,,,,,,,,,,,,,,,,,,,1.0,199.0,696.0,,,,,,,28.59195402298851,658.0,275.0,141.56363,42.98566,130.55734,31.59679
2022,山口県,南陽港,兵庫県,尼崎港,1,258.0,850.0,,,,,,,,,,,,,,,,,,,1.0,258.0,850.0,,,,,,,30.352941176470587,394.0,208.0,140.51154,37.75623,139.89156,36.19485
2023,岡山県,玉野港,山口県,宇部港,3,665.6666666666666,1515.6666666666667,,,,,,,,,,,,,,,,,,,,,,3.0,665.6666666666666,1515.6666666666667,,,,43.96889841331688,1067.0,158.66666666666666,140.7886,38.02327,141.06302,40.28997
2020,福岡県,苅田港,神奈川県,横浜港,64,7333.4375,10932.40625,,,,60.0,7774.4,11509.45,,,,,,,,,,,,,4.0,719.0,2276.75,,,,,,,65.67715584009572,3050.1875,560.453125,141.33398,40.27981,139.63795,35.44403
2019,鹿児島県,喜界島港,福岡県,博多港,2,498.5,1600.0,,,,,,,,,,,,,,,,,,,2.0,498.5,1600.0,,,,,,,31.21462956440061,1331.0,372.0,130.55734,31.59679,141.33398,40.27981
2019,福岡県,堀川港,熊本県,田浦港,2,499.0,1350.0,,,,,,,,,,,,,,,,,,,2.0,499.0,1350.0,,,,,,,36.96296296296296,917.0,205.0,141.33398,40.27981,141.79938,42.97082
2016,大分県,四ッ浦港,山口県,宇部港,1,499.0,1550.0,,,,,,,,,,,,,,,,,,,1.0,499.0,1550.0,,,,,,,32.193548387096776,1000.0,70.0,130.62473,33.58446,141.06302,40.28997
2016,兵庫県,加古川港,香川県,詫間港,4,291.0,1023.5,,,,,,,,,,,,,,,,,,,4.0,291.0,1023.5,,,,,,,28.186503136074084,854.75,65.25,139.89156,36.19485,140.78973,42.65911
2023,大阪府,泉北港,香川県,高松港,1,489.0,1800.0,,,,,,,,,,,,,,,,,,,1.0,489.0,1800.0,,,,,,,27.166666666666668,1500.0,74.0,140.36612,37.58281,140.78973,42.65911
2019,香川県,多度津港,三重県,津港,1,498.0,1600.0,,,,,,,,,,,,,,,,,,,1.0,498.0,1600.0,,,,,,,31.125000000000004,120.0,293.0,140.78973,42.65911,136.50545,34.71856
2019,宮城県,塩釜港,北海道,石狩港,2,2468.0,3144.5,,,,,,,,,,,,,,,,,,,,,,2.0,2468.0,3144.5,,,,77.93306323303915,2545.5,489.0,140.86961,38.26801,141.31552,43.17136
2016,千葉県,千葉港,北海道,十勝港,1,499.0,1740.0,,,,,,,,,,,,,,,,,,,1.0,499.0,1740.0,,,,,,,28.67816091954023,600.0,593.0,140.10638,35.60733,143.65858,42.80895
2024,香川県,坂出港,千葉県,千葉港,3,4464.333333333333,2373.333333333333,,,,,,,,,,,,,,,,1.0,12691.0,5820.0,,,,2.0,351.0,650.0,,,,108.6861397479954,177.33333333333334,387.6666666666667,140.78973,42.65911,140.10638,35.60733
2019,兵庫県,赤穂港,東京都,東京港,9,3624.777777777778,6007.444444444444,,,,8.0,4044.5,6654.0,,,,,,,,,,,,,1.0,267.0,835.0,,,,,,,57.22728352558199,5241.111111111111,400.55555555555554,139.89156,36.19485,139.75363,35.694
2023,三重県,四日市港,沖縄県,牧港,3,749.0,1633.0,,,,,,,,,,,,,,,,,,,,,,3.0,749.0,1633.0,,,,45.86650336803429,1288.0,637.0,136.59062,34.98973,127.67921,26.2123
2018,大分県,津久見港,神奈川県,横須賀港,13,487.1538461538461,1769.2307692307693,,,,,,,,,,,,,,,,,,,13.0,487.1538461538461,1769.2307692307693,,,,,,,27.585470085470085,1726.923076923077,462.9230769230769,130.62473,33.58446,139.63795,35.44403
2020,北海道,苫小牧港,千葉県,木更津港,9,731.4444444444445,2237.0,,,,,,,,,,,,,,,,,,,9.0,731.4444444444445,2237.0,,,,,,,32.72318029806206,2181.222222222222,542.0,141.6055,42.63409,140.10638,35.60733
2021,長崎県,長崎港,岡山県,岡山港,1,267.0,886.0,,,,,,,,,,,,,,,,,,,1.0,267.0,886.0,,,,,,,30.135440180586908,470.0,349.0,140.60237,40.63768,140.7886,38.02327
2021,岡山県,岡山港,大分県,大分港,12,511.0833333333333,1237.9166666666667,,,,,,,,,,,,,,,,,,,,,,12.0,511.0833333333333,1237.9166666666667,,,,41.33441430023655,344.1666666666667,162.5,140.7886,38.02327,130.62473,33.58446
2017,高知県,須崎港,千葉県,袖ヶ浦港,57,1712.9649122807018,8379.859649122807,,,,2.0,3634.0,6101.0,,,,,,,,,,,,,4.0,3755.75,5587.5,,,,51.0,1477.4117647058824,8688.235294117647,21.12146299934851,7026.649122807017,380.7017543859649,133.53116,33.55879,140.10638,35.60733
2019,山口県,周南港,愛知県,衣浦港,13,485.84615384615387,1684.3076923076924,,,,,,,,,,,,,,,,,,,13.0,485.84615384615387,1684.3076923076924,,,,,,,28.892436477099423,1584.7692307692307,372.2307692307692,141.06302,40.28997,136.90642,35.18143
2022,兵庫県,西宮港,広島県,大崎上島港,5,498.2,1648.2,,,,,,,,,,,,,,,,,,,5.0,498.2,1648.2,,,,,,,30.33687398513532,1095.2,127.0,139.89156,36.19485,141.56363,42.98566
