年度,モード,品目,発,北海道_着,青森県_着,岩手県_着,宮城県_着,福島県_着,秋田県_着,山形県_着,茨城県_着,栃木県_着,群馬県_着,埼玉県_着,千葉県_着,東京都_着,神奈川県_着,新潟県_着,富山県_着,石川県_着,福井県_着,山梨県_着,長野県_着,静岡県_着,岐阜県_着,愛知県_着,三重県_着,滋賀県_着,京都府_着,奈良県_着,和歌山県_着,大阪府_着,兵庫県_着,鳥取県_着,島根県_着,岡山県_着,広島県_着,山口県_着,香川県_着,愛媛県_着,徳島県_着,高知県_着,福岡県_着,佐賀県_着,長崎県_着,熊本県_着,大分県_着,宮崎県_着,鹿児島県_着,沖縄県_着
2018,海運,金属・機械工業品,福島県,0,130,0,3788,119,0,0,124,0,0,0,0,0,1466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3225,0,0,0,1471,4676,0,0,0,0,0,284,0,0,0,1259,0,0,0
2022,海運,特殊品,茨城県,1159316,24146,29314,42798,0,1200,0,0,0,0,0,2285,643,61714,0,0,0,0,0,0,0,0,10810,0,0,0,0,6106,6190,0,0,0,550,0,25348,0,0,0,60470,66338,0,2000,0,1039,0,25307,0
2022,海運,金属・機械工業品,静岡県,983,0,0,5,0,0,0,632,0,0,0,4659,954,5691,0,0,0,0,0,0,33864,0,33036,83786,0,0,0,0,5495,0,0,0,0,0,0,253,0,0,10,35092,0,2010,650,18040,0,0,0
2018,海運,鉱産品,茨城県,202446,139917,38970,217498,6762,20000,0,0,0,0,0,265615,42460,26977,38290,4500,0,0,0,0,0,0,560,0,0,0,0,7854,3046,17498,0,0,0,0,0,0,0,0,1500,5880,0,0,0,16256,4872,0,0
2019,鉄道,農産品,茨城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,海運,金属・機械工業品,広島県,4193,0,0,108848,155,108,0,1920,0,0,0,1138414,23975,87587,7724,15048,4994,658,0,0,29638,0,1294129,24797,0,0,0,1878,1196924,882952,70,0,102002,431505,647374,85318,96918,0,296,584693,8961,12821,28687,29948,0,0,1863
2022,自動車,その他,福島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,海運,特殊品,長崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3254,0,0,0,0,0,0,1836,0,0,0,0,126428,0,11272,0,12573,413783,319,182687,395,17691,606,2983,0
2017,鉄道,農林水産,愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,鉄道,農産品,福島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,海運,金属・機械工業品,岐阜県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
